"","Id","user_sleep_total","user_avg_sleep"
"1",1503960366,9007,360.28
"2",1644430081,1176,294
"3",1844505072,1956,652
"4",1927972279,2085,417
"5",2026352035,14173,506.178571428571
"6",2320127002,61,61
"7",2347167796,6702,446.8
"8",3977333714,8222,293.642857142857
"9",4020332650,2795,349.375
"10",4319703577,12393,476.653846153846
"11",4388161847,9675,403.125
"12",4445114986,10785,385.178571428571
"13",4558609924,638,127.6
"14",4702921684,11792,421.142857142857
"15",5553957443,14368,463.483870967742
"16",5577150313,11232,432
"17",6117666160,8618,478.777777777778
"18",6775888955,1049,349.666666666667
"19",6962181067,13888,448
"20",7007744171,137,68.5
"21",7086361926,10875,453.125
"22",8053475328,891,297
"23",8378563200,14187,443.34375
"24",8792009665,6535,435.666666666667
