"","active_hour","total_steps","avg_steps"
"1",0,39404,42.1884368308351
"2",1,21555,23.1028938906752
"3",2,15964,17.1103965702036
"4",3,5996,6.42658092175777
"5",4,11836,12.6995708154506
"6",5,40886,43.8690987124464
"7",6,166191,178.508055853921
"8",7,284932,306.049409237379
"9",8,398044,427.544575725027
"10",9,403404,433.301825993555
"11",10,447467,481.665231431647
"12",11,423534,456.886731391586
"13",12,505848,548.642082429501
"14",13,495220,537.698154180239
"15",14,497813,540.513572204126
"16",15,371782,406.31912568306
"17",16,450639,496.845644983462
"18",17,498511,550.23289183223
"19",18,542848,599.169977924945
"20",19,528552,583.390728476821
"21",20,320638,353.905077262693
"22",21,278865,308.138121546961
"23",22,215141,237.987831858407
"24",23,110286,122.132890365449
